composite,defagn,defstarform,galname
False,False,True,ECO01258
False,False,True,ECO01259
False,False,True,ECO01262
False,False,True,ECO01264
False,False,True,ECO01265
False,False,True,ECO01266
False,False,True,ECO01267
False,False,True,ECO01268
False,False,True,ECO01269
False,False,True,ECO01270
False,False,True,ECO01273
False,False,True,ECO01274
False,False,True,ECO01275
False,False,True,ECO01276
False,False,True,ECO01277
False,False,True,ECO01278
False,False,True,ECO01279
True,False,False,ECO01280
False,False,True,ECO01281
False,False,True,ECO01282
False,False,True,ECO01283
False,False,True,ECO01284
True,False,False,ECO01285
False,False,True,ECO01286
False,False,True,ECO01287
False,False,True,ECO01288
False,False,True,ECO01289
False,False,True,ECO01290
False,False,True,ECO01291
False,False,True,ECO01292
False,False,True,ECO01294
False,False,True,ECO01295
False,False,True,ECO01296
False,False,True,ECO01297
False,False,True,ECO01298
False,False,True,ECO01299
True,False,False,ECO01301
False,False,True,ECO01302
False,False,True,ECO01303
False,False,True,ECO01304
False,False,True,ECO01305
False,False,True,ECO01306
False,False,True,ECO01307
False,False,True,ECO01308
False,False,True,ECO01309
False,False,True,ECO01310
False,False,True,ECO01311
False,False,True,ECO01312
False,False,True,ECO01314
False,False,True,ECO01315
False,True,False,ECO01316
False,False,True,ECO01317
False,False,True,ECO01318
False,False,True,ECO01319
False,False,True,ECO01321
False,False,True,ECO01322
False,False,True,ECO01323
False,False,True,ECO01324
False,False,True,ECO01325
False,False,True,ECO01326
False,False,True,ECO01327
False,False,True,ECO01328
False,False,True,ECO01329
False,False,True,ECO01330
False,False,True,ECO01331
False,False,True,ECO01332
False,False,True,ECO01333
False,False,True,ECO01334
False,False,True,ECO01335
False,False,True,ECO01336
False,False,True,ECO01337
False,False,True,ECO01338
False,False,True,ECO01339
False,False,True,ECO01340
False,False,True,ECO01341
False,False,True,ECO01342
False,False,True,ECO01343
False,False,True,ECO01344
False,False,True,ECO01345
False,False,True,ECO01346
False,False,True,ECO01347
False,False,True,ECO01349
False,False,True,ECO01350
False,False,True,ECO01351
False,False,True,ECO01352
False,False,True,ECO01353
False,False,True,ECO01354
False,False,True,ECO01355
False,False,True,ECO01356
False,False,True,ECO01357
False,False,True,ECO01358
False,False,True,ECO01359
False,False,True,ECO01360
False,False,True,ECO01361
False,False,True,ECO01362
False,False,True,ECO01363
False,False,True,ECO01364
False,False,True,ECO01365
False,False,True,ECO01366
False,False,True,ECO01367
False,False,True,ECO01368
False,False,True,ECO01369
False,False,True,ECO01370
False,False,True,ECO01371
False,False,True,ECO01372
False,False,True,ECO01374
False,False,True,ECO01375
False,False,True,ECO01376
False,False,True,ECO01377
False,False,True,ECO01378
False,False,True,ECO01379
False,False,True,ECO01381
False,False,True,ECO01382
False,False,True,ECO01383
False,False,True,ECO01385
False,False,True,ECO01386
False,False,True,ECO01388
False,False,True,ECO01389
False,False,True,ECO01391
False,False,True,ECO01392
False,False,True,ECO01393
False,False,True,ECO01394
False,False,True,ECO01395
False,False,True,ECO01396
False,False,True,ECO01397
False,False,True,ECO01398
False,False,True,ECO01399
False,False,True,ECO01401
False,False,True,ECO01402
False,False,True,ECO01403
False,False,True,ECO01404
False,False,True,ECO01405
False,False,True,ECO01407
False,False,True,ECO01408
False,False,True,ECO01409
False,False,True,ECO01410
False,True,False,ECO01411
False,False,True,ECO01413
False,False,True,ECO01414
False,False,True,ECO01416
False,False,True,ECO01418
False,False,True,ECO01419
False,False,True,ECO01420
False,False,True,ECO01421
False,False,True,ECO01423
False,False,True,ECO01424
False,False,True,ECO01425
False,False,True,ECO01426
False,False,True,ECO01427
False,False,True,ECO01428
False,False,True,ECO01429
False,False,True,ECO01430
False,False,True,ECO01431
False,False,True,ECO01432
False,False,True,ECO01433
False,False,True,ECO01434
False,False,True,ECO01435
False,False,True,ECO01436
False,False,True,ECO01437
False,False,True,ECO01438
False,False,True,ECO01439
False,False,True,ECO01440
False,False,True,ECO01441
False,False,True,ECO01442
False,False,True,ECO01443
False,False,True,ECO01444
False,False,True,ECO01445
False,False,True,ECO01446
False,False,True,ECO01447
False,False,True,ECO01448
False,False,True,ECO01449
False,False,True,ECO01450
False,False,True,ECO01452
False,False,True,ECO01453
False,False,True,ECO01454
False,False,True,ECO01455
False,False,True,ECO01456
False,False,True,ECO01457
False,False,True,ECO01458
