name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
"SJUSHR3090",11.7951,0.554992,11.1403,0.0578996,11.9662,0.0335011
"SJUSHR3091",11.1185,1.09463,9.93023,0.356598,11.4702,0.0320244
"SJUSHR3092",9.12566,0.0501130,9.00777,0.0108844,9.32376,0.00289917
"SJUSHR3093",12.0683,0.625808,8.38200,0.557551,12.2738,0.0596104
"SJUSHR3094",8.40639,0.0158755,8.39014,0.0182753,8.43104,0.00262260
"SJUSHR3095",11.7382,0.259943,10.4794,0.264365,11.9061,0.0228643
"SJUSHR3096",9.78939,0.389764,2.00704,0.0167586,10.5248,0.0105705
"SJUSHR3097",11.8703,0.293829,9.91140,0.591902,12.0148,0.0388508
"SJUSHR3098",9.70459,0.0660506,9.26382,0.00210328,9.94400,0.00401306
"SJUSHR3099",11.0370,0.114200,9.31298,0.120258,11.0676,0.0195246
"SJUSHR31",5.81319,0.0305854,5.90900,0.0125076,5.92088,0.000692368
"SJUSHR310",8.36787,0.0335561,8.33201,0.0395871,8.43040,0.00257111
"SJUSHR3100",9.22470,0.0332495,9.16034,0.0277891,9.23410,0.00528431
"SJUSHR3101",9.44807,0.114546,9.19337,0.0335631,9.82996,0.00494480
"SJUSHR3102",9.74898,0.114863,9.53764,0.00396736,10.0086,0.00695229
"SJUSHR3103",10.4143,0.0901839,10.1857,0.0817678,10.6339,0.00892735
"SJUSHR3104",9.38456,0.214665,8.90278,0.175095,10.0118,0.00526619
"SJUSHR3105",11.3356,0.0563688,9.70312,0.0469056,11.3655,0.0250816
"SJUSHR3106",10.9309,0.579996,10.0018,0.0997216,11.4165,0.0198522
"SJUSHR3107",10.1545,0.0683384,9.93573,0.0653072,10.2828,0.00500202
"SJUSHR3108",8.76983,0.0153622,8.75177,0.0304230,8.83574,0.00271034
"SJUSHR3109",0.00000,0.00000,0.00000,0.00000,-NaN,NaN
"SJUSHR311",8.58693,0.0159017,8.53364,0.0580240,8.61856,0.00323772
"SJUSHR3110",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR3111",9.26934,0.0373838,8.75943,0.0534816,9.44687,0.00373745
"SJUSHR3112",10.1664,0.0689131,10.0478,0.0583446,10.3183,0.00594139
"SJUSHR3113",8.50680,0.0386256,8.39791,0.0646406,8.89496,0.00163269
"SJUSHR3114",11.7784,0.693120,10.4491,0.0295246,12.2088,0.0201020
"SJUSHR3115",10.8000,0.534301,8.99751,0.101512,11.0907,0.0207872
"SJUSHR3116",0.00000,0.00000,10.0700,0.259919,12.8335,0.117501
"SJUSHR3117",9.01323,0.0495514,8.92759,0.0394512,9.29647,0.00204945
"SJUSHR3118",7.61428,0.00734576,7.56274,0.0141534,7.73175,0.000743866
"SJUSHR3119",11.3297,0.138013,4.95058,1.60024,11.4143,0.0249825
"SJUSHR312",0.00000,0.00000,8.74859,0.0331391,9.20864,0.00866413
"SJUSHR3120",10.6272,0.222841,9.07055,0.0422324,10.7897,0.0163507
"SJUSHR3121",8.86393,0.0165023,8.85686,0.0436778,8.84602,0.00321388
"SJUSHR3122",9.65324,0.0429856,9.45199,0.120231,9.81417,0.00537586
"SJUSHR3123",12.1760,2.33383,9.47534,0.167460,12.8135,0.0574341
"SJUSHR3124",11.1398,0.966149,6.92032,0.0117449,11.2019,0.0242176
